original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
2835,1,699,585,689,572,710,598,0.76
2835,1,588,418,568,401,608,436,0.74
2835,1,410,215,395,200,426,230,0.64
2835,1,396,181,376,166,416,197,0.64
3059,2,699,585,689,572,710,598,0.76
3059,2,272,383,252,358,292,409,0.75
3059,2,588,418,568,401,608,436,0.74
3059,2,409,214,394,199,425,230,0.63
3059,2,396,182,376,166,416,198,0.63
3059,2,540,152,517,141,563,163,0.51
3061,3,275,411,252,385,298,437,0.78
3072,4,275,413,255,386,295,440,0.76
3073,5,275,412,256,386,295,439,0.76
3074,6,274,412,254,386,294,438,0.77
3096,7,266,378,247,355,285,402,0.75
3102,8,262,398,241,377,283,420,0.75
14183,10,699,586,689,574,710,599,0.73
14183,10,587,418,567,401,608,436,0.72
14183,10,396,182,376,166,417,198,0.65
14183,10,409,214,395,199,423,229,0.62
14183,10,779,558,768,547,791,570,0.50
14186,11,824,339,812,330,836,349,0.71
14187,12,822,341,808,330,836,353,0.73
14188,13,824,369,810,355,839,384,0.75
14191,14,822,372,806,354,838,390,0.71
14192,15,823,374,803,354,843,395,0.70
14193,16,822,376,803,354,842,399,0.73
14194,17,819,379,800,356,838,402,0.73
14195,18,817,381,798,357,836,406,0.74
14196,19,818,359,799,336,838,383,0.75
14197,20,817,361,799,338,836,385,0.75
14198,21,816,390,798,366,835,415,0.76
14199,22,816,396,797,371,836,421,0.76
14200,23,817,398,798,374,837,423,0.76
14201,24,818,403,799,376,838,430,0.78
14202,25,820,408,800,381,841,435,0.77
14204,26,817,412,798,386,837,439,0.76
14205,27,819,417,799,391,839,444,0.77
14206,28,818,420,799,394,838,447,0.74
14207,29,821,399,800,372,842,426,0.75
14208,30,821,427,801,400,842,454,0.74
14209,31,821,429,801,404,841,454,0.74
14210,32,821,434,802,408,841,460,0.75
14211,33,822,438,801,411,844,465,0.77
14213,34,822,443,802,416,843,470,0.73
14214,35,824,424,803,397,846,451,0.76
14216,36,823,453,803,426,844,480,0.74
14217,37,823,433,802,406,845,460,0.75
14218,38,824,437,802,411,846,463,0.75
14219,38,780,559,772,550,788,569,0.65
14221,39,825,446,803,419,847,473,0.75
14223,40,824,450,802,424,846,477,0.73
14223,40,780,559,771,549,789,570,0.72
14224,41,825,456,803,429,847,484,0.75
14225,41,780,559,771,549,790,570,0.73
14226,42,825,460,803,432,847,488,0.75
14227,42,780,559,771,549,790,570,0.74
14228,43,824,462,802,435,847,489,0.76
14229,43,780,559,771,549,789,569,0.72
14230,44,824,463,802,436,847,491,0.76
14231,44,780,559,771,549,790,570,0.73
14232,45,823,466,801,440,846,493,0.75
14233,45,780,559,771,549,789,570,0.73
14234,46,823,472,802,445,845,499,0.76
14235,46,780,559,771,549,789,570,0.75
14236,47,822,477,800,451,845,504,0.78
14237,47,780,559,771,549,789,570,0.75
14238,48,822,481,801,455,843,507,0.74
14239,48,780,559,771,549,789,570,0.74
14240,49,822,483,800,456,844,511,0.77
14241,49,779,559,770,549,789,570,0.73
14242,50,820,484,799,457,842,511,0.80
14243,50,780,559,771,549,789,570,0.72
14244,51,818,485,797,459,839,512,0.80
14245,51,780,559,771,549,789,570,0.73
14246,52,818,489,799,464,837,515,0.78
14247,52,780,560,771,550,789,570,0.72
14248,53,815,493,795,466,835,520,0.79
14249,53,780,559,771,549,789,570,0.73
14238,54,813,501,792,475,835,528,0.77
14238,54,780,559,771,549,789,570,0.72
14239,55,814,503,793,476,835,530,0.79
14240,55,780,559,771,549,789,570,0.73
14241,56,813,505,792,478,835,533,0.81
14242,56,780,559,771,549,789,570,0.72
14245,57,802,513,783,486,821,540,0.77
14245,57,699,587,689,575,710,600,0.72
14245,57,780,559,772,549,788,570,0.65
14246,58,699,586,689,575,709,598,0.75
14247,58,669,512,659,499,679,525,0.71
14248,58,742,560,723,533,762,587,0.69
14249,58,781,559,772,548,791,570,0.50
14250,59,699,586,689,575,709,598,0.74
14251,59,620,660,598,636,642,685,0.74
14252,59,779,559,770,549,789,570,0.64
14253,60,699,610,689,599,709,622,0.74
15340,61,562,640,541,611,583,670,0.78
15340,61,588,418,568,400,609,436,0.69
15340,61,396,182,376,166,417,198,0.64
15340,61,410,215,396,201,424,230,0.62
15340,61,611,158,585,136,637,181,0.55
15340,61,699,586,689,573,709,599,0.53
15341,62,692,467,672,440,713,494,0.78
15342,62,699,586,689,574,709,598,0.74
15343,62,779,559,771,548,788,570,0.71
15344,62,589,419,568,401,611,437,0.69
15345,63,699,585,689,573,709,598,0.75
15346,63,780,559,771,548,789,570,0.73
15347,63,589,418,567,401,611,436,0.67
