original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
9,1,1249,576,1225,546,1274,607,0.77
9,1,169,469,145,452,193,486,0.73
9,1,411,213,396,198,427,229,0.64
9,1,398,181,377,166,419,196,0.58
9,1,613,156,589,134,637,178,0.58
16,2,1252,610,1231,581,1273,639,0.76
22,3,1254,616,1232,586,1276,647,0.76
33,4,1254,632,1232,602,1276,662,0.76
37,5,1256,639,1234,607,1278,672,0.74
40,6,1257,642,1236,612,1279,673,0.76
43,7,1258,646,1236,616,1280,676,0.75
44,8,1258,647,1236,617,1280,678,0.74
45,9,1258,649,1236,619,1280,680,0.74
56,10,1260,663,1241,634,1280,692,0.73
64,11,1262,678,1245,651,1280,706,0.74
66,12,1262,678,1244,647,1280,709,0.75
67,13,1262,681,1245,651,1280,711,0.76
70,14,1262,683,1244,654,1280,713,0.76
74,15,1262,689,1244,659,1280,720,0.72
79,16,1262,694,1244,668,1280,720,0.74
82,17,1262,698,1244,676,1280,720,0.77
84,18,1262,684,1244,655,1280,713,0.77
85,19,1261,685,1243,657,1280,713,0.77
88,20,1261,689,1243,661,1280,718,0.73
89,21,1261,690,1243,662,1280,718,0.73
1328,23,168,468,145,451,192,486,0.73
1328,23,411,212,396,196,426,229,0.61
1328,23,717,226,709,217,726,235,0.54
1328,23,398,180,378,166,418,195,0.52
1597,24,168,468,145,451,192,485,0.73
1597,24,410,212,396,197,424,227,0.53
1648,25,1272,167,1265,145,1280,189,0.66
1657,26,1271,169,1262,144,1280,195,0.67
1659,27,1271,176,1262,152,1280,201,0.67
1667,28,1269,181,1259,155,1280,208,0.71
1668,29,1269,181,1259,155,1280,208,0.71
1675,30,1269,188,1258,162,1280,214,0.71
1687,31,1267,196,1254,169,1280,223,0.63
1688,32,1267,196,1254,170,1280,223,0.66
1696,33,1264,200,1248,173,1280,228,0.73
1703,34,1263,209,1247,180,1280,239,0.70
1710,35,1261,215,1243,186,1280,245,0.74
1720,36,1261,226,1243,195,1280,258,0.72
