original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
1748,1,163,408,140,383,186,434,0.79
1748,1,410,212,395,198,425,227,0.62
1748,1,397,180,377,165,418,196,0.61
1748,1,614,157,592,135,637,179,0.58
1748,1,717,228,709,220,726,236,0.51
1763,2,161,439,138,407,185,471,0.81
1764,3,162,440,138,407,186,473,0.82
1771,4,158,418,132,383,185,453,0.81
1772,5,157,417,129,382,185,453,0.79
1775,6,152,418,119,381,186,455,0.77
1776,7,152,418,118,381,186,455,0.76
1777,7,148,430,114,404,182,456,0.59
1778,8,152,418,118,381,187,456,0.76
1779,9,153,420,119,383,187,457,0.75
1782,10,152,419,119,382,186,456,0.77
1783,11,150,423,118,391,183,456,0.69
1784,11,147,436,119,416,176,456,0.63
1785,11,155,409,128,381,183,437,0.62
1785,12,148,434,114,413,182,455,0.66
1785,12,135,436,114,418,157,455,0.65
1785,12,150,418,118,382,183,454,0.59
1785,12,158,406,134,382,183,430,0.54
1790,13,164,404,146,383,182,426,0.75
1790,13,133,436,110,419,156,454,0.69
1791,14,165,405,149,383,182,427,0.75
1792,14,125,435,107,416,144,454,0.68
1793,15,166,404,150,383,182,426,0.76
1794,15,132,434,107,416,157,453,0.65
1795,16,164,405,147,384,182,426,0.77
1796,16,134,435,108,417,160,454,0.70
1797,17,165,405,148,384,182,426,0.77
1798,17,133,435,108,416,159,454,0.70
1797,18,166,404,150,385,182,424,0.70
1797,18,125,433,102,413,148,453,0.68
1797,18,116,432,102,414,131,451,0.53
1798,19,166,404,150,384,182,425,0.75
1799,19,128,432,100,411,157,453,0.67
1800,19,117,430,100,410,134,451,0.53
1801,20,165,404,148,383,182,426,0.76
1802,20,124,431,99,410,150,452,0.67
1803,20,116,428,100,406,133,451,0.54
1804,21,165,404,148,383,182,426,0.73
1805,21,122,429,100,409,145,450,0.68
1802,22,164,404,146,382,182,427,0.72
1802,22,125,426,102,405,148,448,0.69
1802,22,411,214,396,198,426,230,0.64
1802,22,397,181,377,166,417,196,0.61
1802,22,611,158,586,136,637,180,0.56
1802,22,717,228,709,220,726,236,0.54
1802,22,542,150,518,138,567,163,0.53
1802,22,588,420,567,404,609,437,0.53
1803,23,164,404,146,382,182,427,0.73
1804,23,122,425,101,403,144,447,0.72
1805,24,163,404,145,382,182,426,0.75
1805,24,120,422,97,400,144,445,0.72
1806,25,163,404,145,382,182,426,0.76
1807,25,118,421,97,399,140,444,0.73
1808,26,163,404,145,383,181,425,0.75
1808,26,121,420,98,398,144,443,0.74
1809,27,164,404,146,383,182,425,0.75
1810,27,121,419,98,397,145,442,0.74
1813,28,164,404,146,382,182,426,0.77
1813,28,116,414,96,394,136,434,0.73
1814,29,163,404,145,382,182,426,0.77
1815,29,116,412,96,392,136,432,0.72
1816,30,163,404,145,383,182,426,0.77
1817,30,115,411,96,391,134,431,0.72
1818,31,163,404,145,383,181,426,0.76
1819,31,116,409,97,388,135,431,0.73
1820,32,163,404,145,383,181,426,0.75
1821,32,116,409,97,388,135,431,0.73
1822,33,118,409,97,388,139,431,0.74
1823,33,162,404,144,383,181,426,0.73
1824,34,164,404,146,383,182,426,0.74
1825,34,117,410,97,389,138,431,0.73
1826,35,163,404,144,383,182,426,0.76
1827,35,116,408,95,386,137,430,0.73
1828,36,163,404,144,383,182,426,0.77
1829,36,115,406,94,384,137,429,0.74
1830,37,163,404,144,383,182,426,0.76
1831,37,115,406,95,385,136,428,0.73
1832,38,163,404,144,383,182,426,0.76
1833,38,114,406,94,384,135,428,0.74
1826,39,162,405,144,384,181,426,0.78
1826,39,113,404,94,383,133,425,0.77
1829,40,163,405,145,384,181,427,0.79
1829,40,113,405,93,383,133,427,0.75
1830,41,163,405,146,384,181,427,0.78
1831,41,114,405,92,382,137,428,0.73
1832,42,163,405,145,383,182,427,0.78
1833,42,113,405,93,384,134,427,0.73
1834,43,163,405,146,384,181,427,0.77
1835,43,116,403,95,378,137,428,0.72
1836,44,163,405,146,384,181,427,0.76
1837,44,116,403,96,379,137,428,0.73
1835,45,163,405,146,384,181,427,0.76
1835,45,115,403,95,379,135,427,0.74
1836,46,163,405,146,384,181,427,0.78
1837,46,116,403,95,380,137,427,0.73
1838,47,164,405,147,384,181,427,0.77
1839,47,115,403,94,379,137,428,0.73
1839,48,164,405,146,383,182,427,0.77
1839,48,115,403,94,378,136,428,0.73
1840,49,165,405,147,383,183,427,0.78
1841,49,116,403,94,379,138,428,0.74
1842,50,164,405,147,383,182,428,0.78
1843,50,116,403,92,378,140,428,0.76
1843,51,164,406,147,385,181,428,0.77
1843,51,115,401,93,376,138,426,0.76
1844,52,163,407,146,386,181,428,0.77
1845,52,114,400,92,376,137,424,0.76
1846,53,163,407,146,386,181,428,0.77
1847,53,114,401,91,378,138,424,0.75
1848,54,164,407,147,386,181,428,0.76
1849,54,114,401,93,377,136,425,0.75
1848,55,164,407,147,386,181,428,0.76
1848,55,115,401,94,378,137,424,0.73
1850,56,164,407,147,386,181,428,0.77
1850,56,117,400,96,378,139,422,0.74
1851,57,163,407,147,386,180,428,0.75
1852,57,116,400,94,378,139,423,0.72
1853,58,163,407,147,386,180,428,0.75
1854,58,117,399,96,378,139,420,0.71
1854,59,118,397,96,375,141,419,0.76
1854,59,164,406,147,385,181,428,0.75
1855,60,164,407,147,386,181,428,0.76
1856,60,118,397,97,377,140,418,0.75
1857,61,163,407,147,386,180,428,0.75
1858,61,118,394,98,373,138,415,0.71
1859,62,164,407,147,386,181,428,0.76
1860,62,119,391,97,369,141,413,0.72
1861,63,164,406,147,385,181,428,0.75
1862,63,119,390,97,368,141,413,0.72
1863,64,163,406,146,385,181,428,0.76
1864,64,118,389,98,367,139,412,0.72
1865,65,163,406,146,385,181,428,0.76
1866,65,119,389,98,366,141,413,0.73
1867,66,163,406,146,385,181,428,0.75
1868,66,121,390,100,366,142,414,0.75
1869,67,122,390,101,366,143,414,0.76
1870,67,164,406,147,384,181,428,0.75
1871,68,123,389,102,365,145,413,0.79
1872,68,164,406,148,385,181,427,0.74
1873,69,163,406,146,385,181,427,0.76
1874,69,123,389,101,365,145,413,0.73
1866,70,163,406,146,385,181,428,0.76
1866,70,121,388,102,365,141,412,0.72
1869,71,163,406,146,384,181,428,0.76
1869,71,123,386,103,360,144,412,0.71
1873,72,164,406,147,384,182,428,0.75
1873,72,124,386,103,359,146,413,0.73
1874,73,163,406,146,384,181,428,0.74
1875,73,124,385,103,359,146,412,0.73
1877,74,164,405,146,383,182,428,0.75
1877,74,125,383,103,357,147,410,0.73
1879,75,163,405,145,383,182,428,0.75
1879,75,125,384,103,358,147,410,0.72
1880,76,164,405,146,383,182,428,0.75
1881,76,125,383,104,357,146,409,0.75
1882,77,164,405,147,383,182,428,0.76
1883,77,125,383,105,358,146,408,0.76
1884,78,164,405,147,383,182,428,0.77
1885,78,126,383,107,359,146,407,0.76
1886,79,127,383,108,360,147,406,0.77
1887,79,165,405,148,383,182,428,0.77
1885,80,164,405,147,383,182,428,0.78
1885,80,128,381,110,359,146,404,0.77
1888,81,165,405,148,383,182,428,0.77
1888,81,130,380,110,358,151,402,0.73
1889,82,165,406,149,384,182,428,0.77
1890,82,131,379,111,357,151,401,0.72
1893,83,164,405,146,382,183,428,0.77
1893,83,134,379,113,358,155,401,0.71
1893,83,160,403,146,382,174,425,0.53
1894,84,164,405,146,382,183,428,0.76
1895,84,135,380,114,358,156,402,0.70
1896,85,164,405,146,382,183,428,0.76
1897,85,136,379,114,358,158,401,0.70
1898,86,164,406,146,384,182,428,0.75
1899,86,136,378,112,357,160,400,0.69
1898,87,164,405,147,383,182,428,0.76
1898,87,138,378,116,356,160,400,0.71
1899,88,164,405,146,383,182,428,0.75
1900,88,138,377,117,355,159,399,0.72
1902,89,163,406,145,384,182,428,0.75
1902,89,140,374,118,352,162,397,0.72
1906,90,143,375,121,353,166,397,0.73
1906,90,163,405,145,383,182,428,0.70
1908,91,146,374,121,351,172,398,0.74
1908,91,163,405,145,383,182,428,0.71
1909,92,149,373,122,350,176,397,0.70
1910,92,163,403,144,378,183,428,0.69
1911,92,152,383,122,351,183,416,0.66
1912,92,160,390,136,352,184,428,0.58
1911,93,148,373,123,351,173,396,0.73
1911,93,164,404,144,380,184,428,0.71
1911,93,161,392,138,357,184,428,0.51
1913,94,148,374,124,351,173,397,0.72
1913,94,163,404,144,381,183,427,0.71
1913,94,161,392,139,357,184,428,0.54
1919,95,163,406,145,385,181,427,0.74
1919,95,145,372,124,349,167,396,0.71
1920,96,163,406,145,385,181,427,0.75
1921,96,145,372,124,349,167,396,0.70
1922,97,163,406,145,384,181,428,0.74
1923,97,145,372,124,349,166,395,0.70
2009,98,146,373,124,351,168,395,0.76
2009,98,162,405,144,384,181,427,0.71
2010,99,146,373,124,352,168,395,0.75
2011,99,162,406,144,385,180,427,0.71
2012,100,145,373,124,352,167,395,0.75
2012,100,162,405,144,384,181,427,0.71
2013,101,146,373,124,352,168,395,0.75
2014,101,162,405,144,384,180,427,0.71
2020,102,144,373,124,350,165,397,0.76
2020,102,162,405,144,382,181,428,0.73
2022,103,144,373,124,349,165,397,0.77
2022,103,162,404,144,380,181,428,0.71
2023,104,144,373,124,350,164,397,0.76
2024,104,162,403,143,379,181,428,0.71
2025,104,160,397,139,368,182,426,0.52
2026,105,144,373,124,350,164,396,0.76
2027,105,162,402,143,377,181,427,0.67
2028,105,156,391,130,357,182,426,0.53
2027,106,144,374,124,351,164,397,0.77
2027,106,162,402,144,378,181,427,0.69
2029,107,144,373,124,350,165,397,0.77
2029,107,162,403,144,380,181,427,0.69
2038,108,143,373,125,350,162,397,0.76
2038,108,163,402,145,378,182,427,0.71
2053,109,143,373,124,351,162,396,0.76
2053,109,162,403,144,379,181,427,0.67
2054,110,143,373,124,351,162,396,0.76
2055,110,162,403,144,379,181,428,0.66
2059,111,142,374,123,352,162,397,0.75
2059,111,162,402,144,378,181,427,0.66
2117,112,156,391,128,354,184,429,0.73
2117,112,411,214,396,199,426,230,0.65
2117,112,588,420,567,404,610,436,0.62
2117,112,397,181,377,166,417,196,0.62
2117,112,150,374,128,353,173,396,0.61
2117,112,612,157,587,135,637,180,0.61
2117,112,541,151,518,139,565,164,0.54
2127,113,161,399,138,370,184,429,0.72
2127,113,153,390,128,357,179,424,0.68
2127,113,146,374,129,354,163,395,0.65
2145,114,160,399,137,370,184,429,0.72
2145,114,156,391,129,357,183,425,0.68
2145,114,149,375,129,354,169,396,0.62
2146,115,161,399,139,370,184,429,0.75
2147,115,157,392,132,360,183,424,0.67
2148,115,150,374,130,354,171,395,0.53
2168,116,159,395,135,362,184,429,0.72
2168,116,157,380,134,360,181,400,0.60
2183,117,160,395,136,362,184,428,0.74
2183,117,158,381,135,362,182,401,0.56
2186,118,160,395,136,362,184,428,0.74
2186,118,158,381,135,362,182,401,0.58
2213,119,161,394,137,360,185,428,0.74
2213,119,159,379,136,360,182,398,0.64
2215,120,161,393,137,360,185,427,0.75
2215,120,159,379,136,360,183,399,0.64
2237,121,161,392,137,358,186,427,0.73
2237,121,160,380,136,358,185,402,0.63
2239,122,161,416,137,381,186,451,0.75
2244,123,162,391,138,356,186,427,0.72
2244,123,160,377,136,356,184,398,0.67
2253,124,161,390,136,354,186,427,0.70
2253,124,159,375,136,354,183,397,0.69
2254,125,160,390,136,354,185,427,0.70
2255,125,159,375,136,354,182,397,0.69
2262,126,157,375,136,354,178,396,0.70
2262,126,159,382,136,355,183,410,0.69
2262,126,161,394,137,360,185,428,0.68
2263,127,158,375,136,354,181,396,0.70
2264,127,160,388,136,354,185,423,0.70
2268,128,155,374,135,353,176,395,0.71
2268,128,160,395,137,363,184,428,0.67
2269,129,154,374,135,353,174,395,0.72
2270,129,161,395,137,363,185,428,0.67
2281,130,151,372,133,350,170,394,0.70
2281,130,163,398,142,370,184,427,0.66
2281,130,158,388,135,351,182,426,0.60
2282,131,151,372,133,350,170,394,0.70
