original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
1279,1,398,179,377,164,419,194,0.55
1279,1,542,147,518,137,567,158,0.51
1280,2,502,565,492,550,512,580,0.55
1281,2,459,612,447,599,471,626,0.51
4911,3,397,179,377,163,418,195,0.53
4912,4,410,212,394,198,427,226,0.60
7242,5,458,611,447,598,470,625,0.61
7242,5,371,548,358,535,384,561,0.56
7242,5,502,565,492,550,512,580,0.50
7243,7,458,612,445,598,471,626,0.72
7244,7,502,566,492,551,512,581,0.65
7245,7,370,547,358,535,382,560,0.57
7246,7,397,179,377,164,418,194,0.52
12141,8,371,548,358,535,385,561,0.63
12141,8,459,610,449,598,470,622,0.63
12141,8,413,212,401,199,426,225,0.57
12141,8,502,565,493,551,512,580,0.54
12141,8,398,177,378,163,419,192,0.52
12149,10,502,525,492,511,512,539,0.68
12149,10,398,179,378,165,418,194,0.67
12149,10,370,509,358,497,383,521,0.61
12149,10,458,571,447,558,470,585,0.58
12149,10,412,210,400,199,425,222,0.58
12150,11,458,610,447,597,470,623,0.70
12151,11,502,565,493,551,512,580,0.66
12152,11,398,179,379,165,418,193,0.63
12153,11,412,211,400,199,425,224,0.62
12154,11,371,548,358,535,385,561,0.61
12155,11,717,224,709,216,725,232,0.52
15770,12,458,594,447,581,470,608,0.67
15770,12,502,549,493,535,512,564,0.60
15770,12,398,179,378,164,418,194,0.56
15770,12,412,211,399,198,425,225,0.55
15770,12,371,533,358,520,385,546,0.51
15771,13,458,610,447,597,470,624,0.71
15772,13,502,565,493,551,512,580,0.63
15773,13,371,548,358,535,384,561,0.59
15774,13,833,561,824,551,843,572,0.52
