original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
204,1,285,368,268,345,303,392,0.73
207,2,290,395,271,369,309,422,0.75
208,3,292,429,274,404,310,454,0.74
209,4,296,439,279,413,313,466,0.74
210,5,297,448,278,421,317,475,0.73
211,6,300,437,281,410,320,465,0.73
212,7,301,469,283,443,319,495,0.74
213,8,303,451,286,425,321,477,0.78
214,9,304,456,286,430,322,482,0.74
216,10,305,472,285,446,325,498,0.75
217,11,309,477,291,451,327,504,0.72
218,12,311,506,289,478,333,534,0.75
221,13,308,521,288,497,328,545,0.77
222,14,308,522,287,500,329,544,0.76
227,15,299,502,276,483,322,522,0.76
229,16,295,528,271,510,319,546,0.76
230,17,292,528,269,511,315,545,0.77
236,18,283,529,259,514,308,545,0.71
237,19,282,531,258,515,307,547,0.69
238,20,282,532,258,516,307,548,0.67
240,21,279,531,255,516,304,547,0.70
241,22,279,532,252,516,306,548,0.69
243,23,272,530,249,514,296,547,0.72
245,24,269,527,248,511,291,543,0.72
246,25,268,526,248,510,288,542,0.73
248,26,261,523,242,508,281,539,0.72
249,27,258,523,239,508,278,538,0.70
250,28,257,520,236,504,278,536,0.73
251,29,252,518,232,502,272,534,0.73
252,30,245,517,227,501,264,534,0.73
253,31,240,516,221,500,259,533,0.73
254,32,239,491,219,475,259,507,0.72
257,33,230,512,209,495,251,530,0.76
258,34,227,511,206,494,248,529,0.76
260,35,221,507,200,490,243,524,0.73
261,36,217,506,196,489,239,523,0.72
262,37,213,503,192,486,235,521,0.72
264,38,206,498,186,480,227,517,0.75
267,39,200,465,181,447,220,483,0.76
268,40,200,462,182,444,219,481,0.74
270,41,201,481,185,462,218,501,0.76
272,42,202,471,185,449,219,493,0.75
273,43,203,464,184,439,222,490,0.77
279,44,198,418,180,392,217,445,0.71
280,47,456,608,445,597,467,619,0.65
281,47,508,617,492,594,524,640,0.60
282,47,504,573,496,563,512,583,0.54
283,48,456,608,446,597,467,619,0.65
284,49,456,607,445,597,467,618,0.70
285,49,504,571,497,562,512,580,0.60
286,50,504,570,497,562,512,579,0.65
287,51,642,356,611,328,673,384,0.52
288,52,588,443,567,427,609,460,0.59
289,55,1007,497,981,469,1033,525,0.67
290,56,1026,525,1007,495,1046,555,0.75
291,58,967,493,951,468,983,518,0.74
292,59,971,480,951,453,991,508,0.75
293,60,985,476,966,448,1005,504,0.70
294,61,981,461,965,436,998,486,0.75
295,62,973,443,955,418,991,468,0.74
296,63,948,443,927,417,969,469,0.69
297,64,921,451,903,428,939,474,0.65
298,67,801,380,785,359,817,401,0.63
299,68,800,376,784,355,816,398,0.72
300,69,823,366,802,344,845,388,0.70
301,70,846,372,825,348,868,396,0.70
767,74,222,381,207,362,238,400,0.68
767,74,505,571,497,562,513,580,0.56
767,74,457,608,447,597,468,619,0.53
767,74,399,176,378,163,420,190,0.52
769,75,226,419,207,392,245,447,0.73
772,76,238,418,219,392,258,445,0.75
774,77,242,438,220,413,265,464,0.76
775,78,249,444,229,421,270,468,0.77
776,79,254,476,233,449,275,504,0.74
778,80,261,494,242,471,281,518,0.77
781,81,261,508,243,485,280,531,0.76
782,82,259,488,241,466,278,510,0.77
783,83,256,514,235,492,277,536,0.78
786,84,247,494,224,477,271,512,0.69
787,85,245,494,220,477,270,511,0.71
789,86,238,516,212,501,264,531,0.63
790,87,235,515,210,500,260,531,0.67
791,88,230,514,208,498,252,531,0.71
