original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
13428,1,398,178,378,164,418,192,0.60
13428,1,412,211,399,197,426,225,0.56
13428,1,618,149,602,132,634,167,0.50
13429,2,469,348,453,333,486,363,0.57
13430,3,591,422,567,401,616,444,0.71
13431,4,738,574,711,556,765,593,0.71
13432,5,788,705,763,691,813,719,0.64
17698,7,413,210,399,196,427,225,0.55
17698,7,582,524,566,510,598,538,0.55
17698,7,398,177,378,163,419,192,0.52
17699,8,501,669,475,653,527,686,0.69
17700,8,591,419,566,403,616,436,0.62
