original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
2133,1,613,154,589,133,637,176,0.51
2134,2,459,611,447,597,472,626,0.75
2135,2,328,524,318,513,338,536,0.70
2136,2,372,548,358,535,386,561,0.60
2137,2,541,148,519,139,563,157,0.53
2138,2,411,210,400,199,423,221,0.51
9391,3,326,499,316,487,337,511,0.61
9391,3,398,157,379,142,417,172,0.56
9391,3,717,202,709,195,726,210,0.50
9392,4,459,612,447,597,471,627,0.72
9393,4,327,525,317,513,338,537,0.64
9394,4,1273,469,1266,452,1280,486,0.57
9395,6,459,612,448,597,471,627,0.73
9396,6,328,525,318,514,338,536,0.66
9397,6,613,140,601,133,625,148,0.56
9398,6,717,225,709,217,725,233,0.52
