original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
1264,1,397,180,377,164,417,197,0.67
1264,1,412,213,398,198,426,228,0.61
1264,1,8,678,0,661,16,696,0.58
1265,2,41,675,17,655,65,695,0.77
1266,3,72,649,49,629,96,669,0.75
1267,4,78,649,55,630,101,668,0.76
1268,5,70,675,43,653,97,697,0.77
1269,6,64,697,35,674,94,720,0.72
1270,7,69,700,40,680,99,720,0.75
1271,8,77,700,49,680,106,720,0.73
1272,9,87,708,56,697,118,720,0.68
1279,12,307,698,285,676,329,720,0.76
1280,13,342,644,320,617,365,672,0.74
1281,14,348,580,329,553,368,608,0.75
1282,15,336,500,318,474,355,527,0.72
1283,16,329,385,311,359,348,411,0.74
2499,18,958,360,940,345,976,376,0.68
2499,18,396,180,376,163,417,197,0.65
2499,18,412,212,398,197,426,228,0.60
2499,18,717,225,709,217,726,234,0.53
2499,18,541,147,518,135,564,160,0.52
2507,19,959,395,939,373,980,417,0.75
2528,20,979,440,957,412,1002,468,0.78
2543,21,983,475,961,447,1005,503,0.77
2554,22,989,508,967,480,1012,536,0.77
2563,23,988,512,966,484,1010,541,0.77
2570,24,984,506,961,478,1007,534,0.79
2581,25,977,495,952,471,1003,519,0.80
2591,26,966,486,941,466,991,506,0.72
2599,27,952,475,927,455,977,496,0.72
2660,28,922,438,899,415,945,461,0.74
2671,29,918,413,896,391,940,436,0.76
2680,30,913,395,891,373,935,417,0.75
2684,31,916,389,896,366,936,413,0.72
2687,32,917,386,898,365,936,407,0.70
3018,34,412,211,397,196,427,227,0.67
3018,34,397,179,376,163,418,196,0.64
15496,53,449,340,431,319,467,361,0.69
15496,53,397,179,378,164,417,194,0.57
15496,53,411,211,398,198,424,224,0.54
15496,53,717,225,709,217,726,233,0.51
15507,54,454,364,432,340,476,389,0.71
15511,55,457,374,439,349,476,400,0.71
15516,56,455,413,435,389,475,438,0.71
15517,57,455,415,435,390,476,441,0.72
15519,58,455,396,436,373,475,420,0.74
15523,59,454,408,435,384,473,432,0.75
15524,60,454,410,435,386,474,435,0.73
16909,61,411,212,398,198,425,227,0.67
16909,61,396,179,377,165,416,193,0.60
16909,61,789,706,773,692,806,720,0.58
16909,61,588,419,567,403,609,435,0.58
16910,62,739,485,718,454,761,517,0.72
