original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
114,1,398,180,377,165,420,195,0.67
114,1,589,420,568,404,610,436,0.56
555,3,397,179,376,165,419,194,0.67
937,4,398,179,376,164,420,195,0.67
937,4,588,420,567,404,610,436,0.53
938,5,220,588,199,566,242,610,0.72
975,7,126,251,104,226,148,276,0.72
976,8,79,295,57,273,102,318,0.75
977,9,111,431,95,412,127,451,0.73
978,10,154,529,138,509,171,549,0.76
979,11,195,589,182,571,209,607,0.74
980,12,217,597,204,581,230,613,0.76
981,13,216,577,201,564,232,591,0.74
982,14,208,571,195,556,222,587,0.71
997,15,195,585,180,572,211,599,0.70
1014,16,146,604,130,593,163,616,0.60
1019,17,132,610,114,598,150,622,0.72
1024,18,115,610,97,598,133,622,0.71
1032,19,88,602,73,590,103,614,0.72
1034,20,81,574,64,560,98,588,0.70
1069,21,48,518,34,503,63,534,0.72
1155,27,12,656,0,640,24,672,0.75
1158,28,18,660,4,646,32,675,0.74
1165,29,33,678,20,663,47,694,0.73
1176,30,31,707,18,695,44,720,0.76
1182,31,19,715,3,711,35,720,0.66
1272,33,397,179,376,163,418,195,0.66
1357,36,26,677,13,660,40,695,0.74
1360,37,23,687,9,670,38,705,0.76
1390,39,763,370,742,349,785,392,0.69
1403,40,737,435,717,412,757,459,0.75
1405,41,734,451,714,426,754,477,0.75
1406,42,731,439,711,413,752,466,0.77
1416,43,712,475,691,450,734,500,0.75
1422,44,697,502,677,479,717,526,0.76
1425,45,692,509,673,487,711,532,0.72
1427,46,683,521,663,497,704,545,0.77
1428,47,680,535,663,517,698,554,0.76
1430,48,677,535,659,516,695,555,0.77
1434,49,220,418,193,398,248,438,0.77
1435,50,192,579,160,562,225,596,0.67
1438,52,661,569,640,549,683,590,0.74
1585,54,106,618,89,605,124,631,0.72
1585,54,398,179,377,164,419,195,0.57
1691,55,57,680,40,668,74,692,0.74
1917,56,57,619,39,605,76,633,0.73
1917,56,412,212,397,197,427,227,0.64
1917,56,398,180,377,165,419,195,0.61
1917,56,616,156,594,138,639,175,0.53
1917,56,619,154,601,134,637,174,0.53
1928,57,80,663,66,648,94,678,0.74
1942,58,65,702,51,686,80,718,0.74
1947,59,51,708,36,697,66,720,0.75
1955,60,26,717,9,715,44,720,0.63
1961,61,12,720,0,720,24,720,0.52
2117,64,95,696,81,679,109,713,0.67
2117,64,397,179,376,164,418,195,0.66
2117,64,412,212,397,197,427,227,0.64
2117,64,616,155,593,136,639,175,0.53
2120,65,91,707,79,695,104,720,0.75
2128,66,82,687,69,670,95,704,0.68
2134,67,78,670,64,653,92,688,0.70
2136,68,76,666,63,648,89,684,0.75
2138,69,75,658,62,641,88,675,0.74
