original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
1686,1,458,613,446,598,471,628,0.59
1686,1,615,154,593,134,637,175,0.56
1686,1,822,339,808,328,837,351,0.52
1687,2,824,366,809,353,840,379,0.67
1690,3,815,369,799,353,832,385,0.72
1691,4,818,369,801,353,835,386,0.71
1694,5,823,375,801,354,845,396,0.72
1698,6,811,383,790,361,832,406,0.75
1699,7,810,389,788,366,833,413,0.74
1704,8,805,400,784,377,826,424,0.78
1706,9,803,409,782,386,825,433,0.76
1707,10,802,410,780,387,825,434,0.75
1712,11,789,425,767,403,812,448,0.77
1714,12,786,429,765,406,808,453,0.77
1722,13,775,455,753,434,797,476,0.74
1724,14,768,462,747,439,790,485,0.77
1727,15,762,469,740,447,784,491,0.73
1729,16,760,480,738,457,783,503,0.77
1735,17,760,486,738,462,782,510,0.74
1738,18,760,465,738,442,782,489,0.79
1744,19,756,494,736,470,777,518,0.79
1747,20,755,477,734,454,777,501,0.75
1762,21,740,513,716,493,764,534,0.76
1763,22,738,489,714,469,762,510,0.77
1785,23,719,510,695,490,743,530,0.75
1788,24,714,509,690,488,739,530,0.74
1799,25,702,503,679,484,725,522,0.74
1805,26,694,480,669,461,719,499,0.74
1805,26,327,525,317,513,338,538,0.64
1805,26,458,611,445,596,471,626,0.61
1805,26,616,154,595,134,637,174,0.54
1805,26,501,566,491,552,512,581,0.54
1836,27,654,505,632,488,676,522,0.71
1857,28,634,481,609,463,659,499,0.57
1866,29,621,442,599,422,644,463,0.51
1942,30,552,493,532,472,572,515,0.75
1942,30,501,566,491,551,512,581,0.66
1943,31,551,494,531,473,571,516,0.74
1944,31,502,565,492,551,512,580,0.66
1945,31,596,422,566,404,626,440,0.51
1950,32,542,505,523,485,562,526,0.77
1950,32,501,566,491,552,511,581,0.64
1954,33,540,507,523,488,558,527,0.76
1954,33,501,566,492,552,511,581,0.68
1960,34,531,515,512,494,550,537,0.77
1960,34,501,565,492,551,511,580,0.63
1960,34,459,609,450,597,469,622,0.62
1963,35,526,517,507,496,545,539,0.77
1963,35,501,565,492,551,511,580,0.62
