original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
3,1,702,445,680,423,724,468,0.77
3,1,460,613,446,597,474,629,0.68
3,1,398,178,377,162,419,195,0.59
7,2,696,475,673,455,719,496,0.73
8,3,691,454,669,436,714,473,0.77
10,4,689,480,667,461,711,499,0.78
14,5,675,482,652,465,699,499,0.73
15,6,669,459,646,443,693,476,0.72
16,7,664,460,641,442,687,478,0.70
17,8,662,485,638,467,686,503,0.70
19,9,649,460,625,443,673,477,0.66
20,10,642,458,618,441,666,476,0.75
22,11,633,457,609,439,658,476,0.65
23,12,630,457,606,439,654,476,0.64
25,13,617,457,594,437,641,477,0.70
31,14,599,460,576,442,623,478,0.69
32,15,595,462,571,446,619,478,0.71
37,16,576,463,554,446,598,481,0.70
38,17,503,564,494,550,513,579,0.68
39,17,573,465,551,448,596,483,0.67
42,18,557,472,535,455,580,490,0.75
44,19,551,474,527,456,575,493,0.74
44,19,503,565,493,550,513,580,0.69
47,20,539,479,518,460,561,499,0.70
47,20,503,564,494,550,513,579,0.69
49,21,534,487,512,467,556,507,0.79
49,21,503,565,493,550,513,580,0.70
52,22,524,496,504,476,545,516,0.73
52,22,503,565,494,550,513,580,0.66
58,23,511,502,490,483,532,522,0.80
58,23,459,609,450,597,469,621,0.68
58,23,503,565,494,551,513,580,0.60
59,24,511,502,490,483,532,521,0.79
60,24,459,609,450,597,469,621,0.69
61,24,503,565,494,551,513,580,0.62
61,25,507,502,485,483,530,521,0.76
61,25,459,609,449,597,470,621,0.71
61,25,503,565,494,551,513,580,0.63
61,25,590,421,566,405,615,437,0.53
66,26,504,495,481,477,528,514,0.71
66,26,503,565,494,550,513,580,0.61
72,27,502,486,481,465,524,507,0.75
72,27,503,565,494,550,513,580,0.67
72,27,587,420,566,405,608,436,0.55
73,28,503,483,481,461,525,505,0.76
74,28,503,565,494,550,513,580,0.69
76,29,499,477,478,454,521,500,0.76
76,29,504,565,494,550,514,580,0.67
76,29,587,420,566,405,608,436,0.55
77,30,494,471,473,449,515,494,0.75
78,30,504,565,494,550,514,580,0.69
79,31,492,468,472,446,513,490,0.77
80,31,503,565,494,550,513,580,0.70
81,31,588,421,566,405,611,437,0.58
80,32,488,462,467,440,510,485,0.76
80,32,503,564,494,550,513,579,0.70
81,33,488,459,469,436,508,482,0.75
82,33,504,564,494,549,514,580,0.71
83,33,588,420,566,404,611,436,0.60
83,34,483,447,464,425,502,470,0.75
83,34,503,564,493,549,514,580,0.70
83,34,586,420,565,405,608,436,0.52
84,35,478,441,458,420,499,463,0.75
85,35,503,564,493,550,514,579,0.70
86,35,590,420,566,404,614,437,0.51
87,36,475,438,455,417,496,460,0.75
88,36,503,564,494,550,513,579,0.66
89,37,472,434,450,412,495,456,0.75
90,37,503,564,494,550,513,579,0.66
91,38,469,431,447,408,491,455,0.76
92,38,503,564,494,550,513,579,0.67
93,39,463,424,444,402,482,446,0.75
94,39,589,420,566,404,612,437,0.52
95,40,459,421,439,400,479,442,0.74
96,40,586,420,565,405,608,436,0.55
93,41,447,428,427,406,468,451,0.76
96,42,439,416,418,395,460,438,0.75
97,43,436,412,416,390,457,435,0.77
99,44,428,376,409,355,448,398,0.75
100,45,424,370,403,348,445,393,0.76
108,46,408,376,389,355,428,398,0.73
109,47,405,372,386,350,424,394,0.74
110,48,402,345,385,324,420,366,0.73
111,49,402,366,386,349,418,384,0.68
116,50,397,338,383,324,412,352,0.51
2212,51,503,565,493,550,514,581,0.57
2212,51,459,612,446,598,472,626,0.56
2213,52,502,565,493,551,512,580,0.69
2214,52,460,611,449,598,471,624,0.62
2215,52,410,620,386,595,434,646,0.56
2216,53,459,612,447,598,471,626,0.64
2217,53,503,565,493,550,513,580,0.60
2218,54,502,565,492,550,513,580,0.63
2219,54,661,341,648,329,675,353,0.62
2220,55,631,336,614,316,648,357,0.51
2221,56,587,444,567,428,608,460,0.54
5253,57,348,348,332,330,365,366,0.71
5257,58,340,381,321,357,360,406,0.71
5260,59,334,393,315,369,354,418,0.77
5266,60,324,412,305,387,343,438,0.75
5267,61,322,415,303,391,341,439,0.76
5268,62,319,420,300,394,339,447,0.77
5269,63,317,399,298,373,337,425,0.77
5272,64,313,432,292,407,334,458,0.76
5284,65,299,469,279,442,319,496,0.77
5286,66,294,452,273,425,316,479,0.77
5289,67,290,483,269,458,311,509,0.78
5291,68,289,469,269,444,309,494,0.77
5291,68,370,546,358,532,383,561,0.52
5323,69,297,481,278,454,317,509,0.75
5331,70,294,491,274,465,314,517,0.74
5334,71,288,497,267,472,310,522,0.78
5335,72,287,499,266,476,308,522,0.77
5337,73,286,501,265,480,307,522,0.77
5339,74,285,502,264,483,307,522,0.75
5343,75,281,507,257,489,305,526,0.69
5344,76,262,530,240,514,284,546,0.71
5345,77,161,606,129,587,193,625,0.58
5346,77,371,547,358,533,384,561,0.55
7850,79,397,179,376,162,419,196,0.51
7851,81,1246,391,1233,372,1259,411,0.62
7852,81,459,612,447,598,471,627,0.56
7853,81,503,564,493,549,514,580,0.54
9780,82,459,613,447,598,472,628,0.53
14958,84,498,663,479,641,517,685,0.59
14959,85,612,540,596,520,628,560,0.70
14960,85,459,612,447,598,471,626,0.67
14961,86,702,409,685,388,719,431,0.68
