original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
581,1,16,685,0,666,32,704,0.68
581,1,398,177,377,161,419,193,0.64
581,1,614,149,595,130,633,168,0.58
581,1,612,158,585,143,639,174,0.57
581,1,837,559,826,547,848,571,0.52
582,4,187,697,173,681,201,714,0.72
583,4,104,685,97,677,112,693,0.53
584,5,143,698,123,677,164,720,0.74
585,6,148,691,128,663,168,720,0.66
586,7,216,664,194,648,239,681,0.64
587,8,308,704,290,692,327,716,0.69
3294,10,390,702,366,685,415,720,0.60
3294,10,613,159,587,144,639,174,0.58
3294,10,613,150,593,130,634,171,0.57
3294,10,836,559,825,547,847,571,0.56
3294,10,398,177,377,161,419,193,0.54
3295,11,394,685,367,657,422,713,0.71
3296,11,457,606,447,596,467,617,0.53
3297,12,407,673,377,645,437,702,0.72
3298,12,457,606,448,596,467,617,0.62
3299,13,413,675,382,640,444,711,0.70
3300,13,457,606,448,596,467,616,0.50
3301,14,436,660,406,620,467,700,0.80
3302,15,453,624,426,586,481,663,0.78
3303,16,460,608,431,569,490,648,0.81
3304,17,465,585,433,546,498,624,0.81
3305,18,479,546,445,508,513,585,0.77
3306,19,495,539,462,499,528,579,0.81
3307,19,457,606,447,596,467,617,0.52
3308,20,515,529,484,490,547,569,0.83
3309,20,588,419,566,403,610,435,0.66
3310,20,457,606,447,596,467,617,0.61
3311,21,529,515,499,477,560,554,0.85
3312,21,457,606,448,596,467,617,0.68
3313,21,587,419,568,404,607,435,0.53
3314,22,534,498,504,460,564,536,0.87
3315,22,457,606,448,596,467,617,0.67
3316,22,587,419,568,403,607,435,0.57
3317,23,536,482,508,444,565,521,0.76
3318,23,458,606,449,596,467,616,0.70
3319,23,588,419,568,403,608,435,0.58
3320,24,548,485,517,446,579,524,0.84
3321,24,458,605,450,596,467,615,0.71
3322,24,588,419,568,403,608,435,0.53
3323,25,560,501,531,463,590,540,0.85
3324,25,458,606,450,595,467,617,0.62
3325,25,588,419,568,403,608,435,0.54
3326,26,581,522,552,484,610,561,0.81
3327,27,601,541,572,502,631,581,0.78
3328,27,588,418,567,401,609,435,0.61
3329,27,682,670,674,660,690,680,0.58
3330,27,600,551,574,519,626,583,0.51
3331,28,608,552,576,513,640,592,0.82
3332,28,590,418,567,402,613,434,0.65
3333,29,608,552,578,512,639,592,0.80
3334,29,682,669,674,660,690,679,0.61
3335,30,626,546,599,507,654,585,0.79
3336,30,589,418,567,403,612,434,0.67
3337,30,503,568,494,559,512,578,0.62
3338,31,652,535,628,497,677,574,0.82
3339,31,588,418,567,402,610,435,0.62
3340,31,502,568,493,559,512,578,0.60
3341,32,656,509,631,473,681,545,0.75
3342,32,681,670,673,660,690,680,0.51
3343,33,664,471,642,434,687,508,0.64
3344,33,588,418,568,402,608,435,0.62
3345,34,587,418,567,402,608,435,0.62
3346,35,587,418,567,402,608,435,0.71
11571,37,588,418,568,402,608,435,0.62
11571,37,397,176,377,162,417,191,0.62
11571,37,613,157,586,141,640,174,0.59
11571,37,614,151,594,130,635,172,0.58
11571,37,836,559,826,548,847,571,0.55
11571,37,413,209,399,195,427,223,0.51
11573,38,169,389,151,371,188,407,0.71
11575,39,167,398,146,376,188,420,0.73
11576,40,167,400,148,379,187,422,0.80
11577,41,166,404,145,380,187,428,0.80
11579,42,163,408,141,381,185,436,0.80
11580,43,161,436,139,408,184,465,0.83
11582,44,159,415,137,387,181,443,0.82
11584,45,155,415,132,387,179,444,0.78
11585,46,154,443,130,418,178,469,0.78
11586,47,153,445,130,420,177,470,0.78
11587,48,148,422,123,397,174,447,0.77
11588,49,147,422,122,397,172,447,0.77
11589,50,144,422,119,398,170,447,0.75
11590,51,143,422,118,398,169,447,0.76
11591,51,133,427,114,410,153,445,0.52
11592,52,146,423,125,400,167,446,0.68
11592,52,122,428,108,412,136,444,0.67
11592,52,138,425,112,404,164,446,0.60
11593,53,144,426,123,405,166,447,0.75
11594,53,121,428,110,412,132,444,0.54
11595,54,143,426,121,405,166,447,0.74
11596,54,123,425,110,408,136,443,0.54
11597,55,145,426,125,406,166,447,0.72
11598,55,124,426,110,409,139,443,0.59
11598,56,136,425,113,405,160,446,0.74
11598,56,129,426,112,407,146,445,0.65
11599,57,131,426,112,406,151,447,0.74
11600,57,142,426,118,405,167,447,0.69
11601,58,129,422,110,402,149,443,0.72
11601,58,148,420,135,403,162,438,0.60
11601,58,136,421,111,403,162,440,0.53
11602,59,129,422,109,401,150,443,0.72
11603,59,147,420,134,402,161,438,0.64
11604,60,133,420,107,402,159,439,0.75
11606,61,133,441,109,421,157,462,0.76
11607,62,133,413,109,392,157,435,0.78
11610,63,129,409,105,386,153,432,0.77
11611,64,127,409,103,387,151,431,0.75
11613,65,124,409,101,386,148,432,0.74
11614,66,123,409,100,386,146,432,0.77
11615,67,120,434,99,410,142,458,0.74
11616,68,119,414,98,386,141,442,0.76
11617,69,106,453,87,425,125,481,0.71
11618,70,63,489,38,461,89,517,0.69
11619,71,20,537,0,511,40,564,0.75
12521,73,9,503,0,486,18,520,0.68
12521,73,613,159,586,145,640,174,0.64
12521,73,397,177,377,162,418,193,0.60
12521,73,613,151,592,129,635,173,0.60
12521,73,718,221,710,214,727,229,0.51
12521,73,458,606,448,596,468,617,0.51
12521,73,678,159,642,139,715,179,0.50
12521,73,836,559,825,548,848,571,0.50
12522,74,58,551,14,514,102,588,0.60
12523,75,105,575,63,540,148,611,0.78
12524,76,125,605,83,569,167,641,0.76
12525,77,138,632,104,601,172,664,0.61
12526,77,148,627,124,602,172,653,0.52
12527,78,199,717,187,714,212,720,0.66
