original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
885,1,397,180,377,165,418,196,0.61
885,1,412,211,400,198,424,224,0.51
886,2,628,481,612,462,644,501,0.71
7999,4,398,179,378,164,418,194,0.61
7999,4,412,210,400,197,425,224,0.56
7999,4,617,150,601,133,633,168,0.52
7999,4,617,156,596,138,638,175,0.51
8001,5,1147,720,1134,720,1161,720,0.59
8008,6,1150,717,1135,714,1166,720,0.67
8009,7,1149,715,1134,711,1165,720,0.70
8015,8,1150,708,1131,696,1170,720,0.73
8018,9,1151,705,1132,690,1170,720,0.74
8020,10,1151,702,1132,685,1171,720,0.74
8022,11,1150,699,1131,678,1170,720,0.75
8030,12,1150,695,1131,670,1169,720,0.74
8032,13,1148,693,1129,667,1168,720,0.76
8035,14,1150,687,1131,661,1169,713,0.76
8038,15,1150,685,1131,659,1170,711,0.75
8042,16,1153,679,1134,651,1172,708,0.74
8043,17,1153,679,1134,650,1172,708,0.74
8055,18,1153,675,1135,647,1172,704,0.76
8065,19,1151,665,1132,638,1170,693,0.73
8066,20,1150,665,1131,637,1170,693,0.75
8069,21,1148,660,1130,633,1166,687,0.76
8070,22,1148,659,1130,633,1166,686,0.75
8071,23,1149,657,1131,630,1168,685,0.77
8073,24,1149,652,1130,625,1169,679,0.75
8099,25,1141,637,1121,613,1162,661,0.76
8103,26,1140,613,1120,589,1160,638,0.76
8103,26,397,180,377,164,418,196,0.63
8103,26,412,211,399,198,425,225,0.52
8103,26,617,148,602,133,632,164,0.52
8111,27,1136,629,1117,606,1155,652,0.76
8112,28,1135,627,1116,604,1155,650,0.77
8128,29,1137,627,1119,601,1155,653,0.77
8130,30,1138,604,1122,580,1155,628,0.76
8151,31,1148,614,1132,592,1164,636,0.75
8162,32,1158,607,1141,587,1175,628,0.76
8171,33,1163,608,1146,588,1180,628,0.76
8172,34,1165,609,1147,589,1183,629,0.77
8175,35,1168,608,1150,588,1187,628,0.78
8179,36,1174,611,1156,590,1192,632,0.76
8180,37,1174,585,1156,565,1193,606,0.77
8181,38,1175,584,1157,564,1193,604,0.78
8182,39,1177,582,1159,562,1196,603,0.78
8187,40,1182,607,1163,586,1202,628,0.75
8190,41,1185,604,1168,583,1203,625,0.73
8193,42,1187,604,1170,584,1205,624,0.73
8199,43,1195,595,1175,573,1215,617,0.76
8200,44,1196,595,1177,572,1216,618,0.76
8201,45,1197,595,1178,573,1216,618,0.76
8203,46,1197,595,1179,573,1216,617,0.75
