original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
2097,1,27,594,17,582,38,607,0.67
2097,1,398,179,377,164,419,195,0.62
2098,2,105,518,96,505,114,532,0.63
2606,5,348,541,337,527,360,556,0.74
2606,5,398,180,377,164,419,196,0.59
2606,5,411,210,398,196,425,224,0.50
2615,6,335,557,323,544,347,571,0.73
2616,7,333,560,322,546,345,574,0.75
2637,8,314,630,303,615,325,646,0.76
2644,9,312,645,301,630,324,661,0.74
2653,10,303,663,291,648,315,678,0.74
2692,11,248,706,236,692,261,720,0.76
2697,12,248,710,236,700,260,720,0.78
2700,13,250,698,239,684,262,713,0.71
2700,13,398,180,378,165,418,196,0.62
17890,14,397,179,377,165,418,194,0.63
17891,16,747,360,732,347,762,374,0.71
17897,17,743,368,725,347,762,390,0.76
17899,18,739,374,721,351,758,397,0.74
17902,19,736,387,716,364,756,411,0.75
17904,20,732,394,713,370,751,419,0.75
17905,21,729,374,711,351,748,398,0.77
17906,22,728,404,709,381,748,427,0.72
17907,23,729,406,710,382,748,430,0.74
17909,24,725,415,706,391,744,439,0.77
17910,25,723,395,704,371,742,419,0.76
17911,25,666,501,652,487,681,516,0.70
17913,26,719,408,700,383,739,433,0.78
17913,26,666,501,652,487,681,516,0.70
17916,27,718,418,698,393,738,444,0.79
17916,27,666,502,652,488,681,517,0.71
17917,28,715,423,697,400,734,446,0.80
17918,28,666,502,652,487,681,517,0.71
17919,29,713,428,695,406,732,450,0.74
17920,29,666,502,652,487,681,517,0.70
17921,30,711,432,692,410,730,455,0.76
17922,30,666,502,652,487,681,517,0.70
17922,31,708,440,689,418,728,463,0.80
17922,31,666,502,652,488,681,517,0.72
17923,32,707,443,687,420,727,466,0.77
17924,32,666,502,652,488,681,517,0.72
17926,33,701,458,682,434,721,482,0.78
17926,33,667,502,652,488,682,516,0.72
17928,34,700,463,681,439,720,487,0.77
17928,34,667,502,652,488,682,517,0.72
17930,35,698,468,679,445,717,492,0.79
17930,35,666,502,651,488,682,517,0.69
17931,36,695,474,675,451,716,497,0.74
17932,36,666,503,652,489,681,517,0.54
17933,37,692,480,669,453,716,508,0.72
17934,37,684,484,651,452,718,517,0.62
17935,38,690,483,664,455,716,511,0.74
17936,38,684,486,651,456,718,517,0.64
17937,38,695,480,674,456,716,504,0.60
17938,39,691,482,668,456,715,509,0.73
17939,39,684,486,651,456,717,517,0.61
17941,40,705,477,688,455,722,500,0.76
17941,40,667,502,652,488,682,517,0.72
17942,41,705,477,689,455,722,499,0.75
17943,41,666,502,652,488,681,517,0.73
17944,42,706,478,690,456,723,501,0.74
17944,42,666,502,652,488,681,517,0.73
17948,43,711,484,693,462,730,507,0.76
17948,43,666,502,652,487,681,517,0.74
17949,44,714,487,696,464,733,510,0.80
17950,44,666,502,652,487,681,517,0.73
17953,45,717,496,699,473,735,520,0.76
17953,45,666,502,652,487,681,517,0.73
17955,46,717,502,699,478,735,527,0.77
17955,46,666,502,652,487,681,517,0.72
17956,47,716,508,699,485,734,531,0.77
17957,47,666,502,652,487,680,517,0.72
17959,48,716,517,698,493,735,542,0.78
17959,48,666,502,652,488,680,517,0.70
17963,49,712,525,693,502,732,549,0.74
17963,49,666,502,652,487,680,517,0.73
17964,50,713,527,692,502,734,552,0.74
17965,50,666,502,652,487,680,517,0.73
17969,51,705,528,686,504,724,552,0.77
17969,51,666,503,652,488,680,518,0.70
17972,52,700,529,681,506,720,552,0.79
17972,52,666,503,652,488,680,518,0.65
17974,53,699,527,680,504,719,550,0.78
17974,53,666,502,652,488,680,517,0.66
17976,54,695,534,677,511,714,557,0.79
17976,54,666,502,652,488,680,517,0.72
17977,55,694,536,676,515,712,558,0.78
17978,55,666,502,652,488,680,517,0.73
17979,56,695,537,677,516,713,558,0.81
17980,56,666,502,652,488,680,517,0.75
17980,57,692,538,673,518,711,559,0.79
17980,57,666,502,652,487,681,517,0.74
17985,58,671,572,648,554,694,591,0.72
17985,58,666,501,652,487,681,516,0.72
17986,59,666,501,652,486,681,517,0.75
17987,59,585,664,565,650,605,679,0.74
