original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
14085,1,825,532,802,518,848,547,0.56
14085,1,396,180,377,165,416,196,0.54
14085,1,411,212,398,197,425,227,0.52
14097,3,714,374,696,352,733,396,0.73
14099,4,716,378,697,357,735,400,0.74
14101,5,714,360,695,339,734,382,0.73
14101,5,411,212,398,197,425,227,0.61
14101,5,824,533,802,519,847,547,0.57
14101,5,397,180,377,165,417,195,0.54
14104,6,710,398,690,374,731,422,0.75
14110,7,702,418,682,395,722,442,0.73
14113,8,700,430,680,405,720,455,0.75
14117,9,695,447,676,423,715,471,0.74
14118,10,694,425,676,402,713,448,0.74
14120,11,693,431,674,407,713,455,0.75
14123,12,688,463,669,441,707,486,0.76
14124,13,685,470,668,447,703,493,0.75
14126,14,682,451,665,429,700,474,0.77
14127,15,680,453,662,431,699,476,0.77
14131,16,673,483,653,460,693,507,0.75
14133,17,667,465,647,442,687,489,0.75
14133,17,589,420,568,404,610,436,0.55
14136,18,663,489,643,466,684,513,0.78
14140,19,653,472,633,450,674,495,0.76
14141,20,651,476,631,455,672,497,0.74
14145,21,645,480,623,458,667,503,0.76
14145,21,589,420,566,403,612,437,0.52
14147,22,641,483,618,460,665,507,0.76
14147,22,588,419,567,402,609,437,0.66
14148,23,637,486,616,463,659,509,0.75
14149,23,588,419,567,402,609,437,0.66
14152,24,626,493,608,472,645,514,0.74
14152,24,589,420,566,404,613,436,0.59
14159,25,610,513,589,491,631,536,0.76
14159,25,589,420,566,404,613,437,0.62
14160,26,607,539,586,516,629,563,0.77
14162,27,606,542,585,518,627,566,0.75
14164,28,603,531,583,509,623,554,0.73
14164,28,589,420,566,404,613,437,0.59
14165,29,613,566,597,551,629,582,0.76
14166,30,610,568,595,552,626,584,0.73
14167,31,610,566,594,551,626,582,0.73
14168,32,609,565,592,551,626,580,0.73
14169,33,607,565,590,551,625,579,0.74
14177,34,602,563,582,550,622,577,0.72
14179,35,599,562,578,549,621,575,0.72
14189,36,595,561,572,546,618,576,0.75
14193,37,590,562,566,548,614,576,0.69
14203,38,579,562,556,547,603,578,0.69
14211,39,574,563,553,548,596,579,0.72
14215,40,571,566,548,551,595,582,0.66
14219,41,567,543,544,528,590,559,0.71
14229,42,566,568,542,552,590,584,0.72
14230,43,560,573,537,557,584,590,0.71
14231,44,552,579,527,559,577,599,0.68
14232,45,496,659,478,644,515,675,0.54
14233,46,414,710,397,701,431,720,0.76
