original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
11154,1,398,179,378,164,418,195,0.61
11154,1,589,420,567,404,611,436,0.59
11154,1,410,208,396,193,425,223,0.51
11155,3,433,357,419,345,448,370,0.62
11160,4,433,338,418,320,449,357,0.66
11163,5,431,343,413,322,450,364,0.77
11164,6,432,368,414,346,450,391,0.75
11165,7,430,369,412,346,449,392,0.75
11167,8,428,350,410,327,447,373,0.73
11168,9,428,353,409,330,447,376,0.73
11170,10,426,385,406,360,446,410,0.75
11174,11,423,400,403,377,443,423,0.74
11177,12,421,405,403,382,440,428,0.74
11179,13,420,480,401,455,439,505,0.73
11180,14,413,638,393,609,434,667,0.67
