original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
3647,1,398,179,378,163,419,195,0.64
3647,1,412,210,396,195,428,225,0.56
3647,1,536,147,519,137,554,158,0.54
3985,8,398,180,378,163,419,198,0.61
4393,13,398,180,378,163,418,198,0.60
4814,16,398,180,378,163,418,198,0.62
5479,23,399,178,378,162,420,195,0.60
5479,23,615,145,601,133,630,157,0.51
6282,26,399,179,378,163,420,195,0.59
6282,26,536,147,519,137,553,157,0.51
6341,28,399,178,378,163,420,194,0.59
6341,28,536,147,519,137,553,157,0.52
7109,29,399,179,378,163,420,195,0.63
7109,29,615,144,602,132,629,156,0.50
8237,32,399,178,378,163,420,193,0.65
8793,38,398,178,378,163,418,194,0.58
8793,38,412,210,398,196,426,225,0.55
11908,41,398,178,378,163,419,194,0.57
11908,41,412,209,398,195,426,224,0.52
12082,44,399,180,378,163,420,197,0.57
13439,49,398,179,378,163,418,196,0.55
13972,51,398,178,378,163,419,194,0.58
14123,53,398,179,378,163,419,195,0.58
14123,53,534,147,519,137,550,157,0.50
14460,58,398,179,378,163,419,195,0.53
14772,61,399,179,378,163,420,195,0.55
14772,61,535,147,519,137,551,157,0.52
15084,69,398,179,378,164,418,194,0.64
15084,69,411,210,398,197,425,223,0.54
15474,73,398,179,378,164,418,195,0.62
