original_frame_id, video_frame_id, center_x, center_y, box_x1, box_y1, box_x2, box_y2, confidence
408,1,279,548,270,538,289,559,0.67
408,1,412,212,398,197,426,227,0.66
408,1,397,179,378,165,417,194,0.62
408,1,884,576,873,562,895,590,0.61
408,1,838,560,828,548,848,572,0.52
409,2,247,673,212,636,283,711,0.60
430,5,449,702,431,686,467,719,0.71
431,6,454,702,433,685,475,720,0.71
432,7,455,677,437,647,474,708,0.70
433,7,473,581,463,569,484,593,0.63
434,8,433,675,414,645,452,705,0.73
435,8,473,581,463,569,484,593,0.63
436,9,418,674,402,646,434,703,0.67
437,9,473,580,463,569,483,592,0.63
438,10,440,682,421,654,459,711,0.68
439,10,473,580,463,569,483,592,0.64
440,11,471,687,451,661,491,714,0.69
441,11,473,580,462,569,484,592,0.63
442,12,514,692,497,671,531,713,0.72
443,13,555,707,538,695,573,720,0.66
444,14,563,685,546,658,580,713,0.67
445,15,549,680,531,653,567,708,0.75
446,16,549,629,530,602,568,657,0.74
447,16,474,580,464,568,484,593,0.52
448,17,553,601,534,573,573,629,0.74
449,17,474,580,464,567,484,593,0.66
450,18,551,573,531,545,571,601,0.73
451,18,473,579,463,567,484,592,0.67
452,19,543,554,523,527,564,581,0.77
453,19,472,580,461,568,484,593,0.57
454,20,536,540,515,511,558,569,0.73
455,20,659,495,645,483,673,507,0.60
456,20,472,580,461,567,484,593,0.60
457,21,529,526,510,498,549,554,0.77
458,21,473,580,463,568,483,593,0.57
459,22,505,498,485,470,526,527,0.73
460,22,592,423,567,403,618,444,0.66
461,22,473,580,463,568,483,593,0.62
462,23,463,462,444,435,482,489,0.77
463,23,473,580,463,567,483,594,0.62
464,23,593,425,567,405,620,445,0.61
465,24,421,426,401,397,442,456,0.73
466,24,588,425,566,406,611,444,0.62
467,25,400,422,380,395,421,450,0.77
468,26,383,375,362,347,404,403,0.77
469,27,381,397,362,370,400,425,0.73
470,28,417,394,397,365,437,424,0.75
471,29,479,430,459,401,500,460,0.78
472,29,591,424,567,405,615,444,0.62
473,30,534,463,514,433,555,493,0.75
474,30,474,580,464,568,484,592,0.65
475,30,593,425,567,405,620,445,0.56
476,31,586,485,565,456,607,515,0.77
477,31,474,580,465,568,484,592,0.68
478,31,594,425,567,405,621,445,0.56
479,32,637,498,616,469,658,528,0.75
480,33,670,506,647,476,694,537,0.82
481,33,593,424,568,404,619,444,0.58
482,34,701,502,682,474,721,530,0.76
483,35,723,490,701,461,745,519,0.81
484,35,838,558,829,547,847,570,0.70
485,36,722,480,701,450,744,510,0.81
486,36,838,558,829,547,847,570,0.68
487,37,718,472,697,443,739,501,0.79
488,38,720,465,700,437,741,494,0.79
489,39,719,455,698,426,741,485,0.79
490,40,711,451,690,422,732,480,0.75
491,41,699,470,679,442,719,498,0.78
