20241118_091421.csv,0,0,0,0,0,0
20241118_081415.csv,0,0,0,0,0,0
20241118_084418.csv,0,0,0,0,0,0
20241117_133756.csv,20,1,0,0,0,1
20241117_202241.csv,9,0,0,0,0,0
20241117_150805.csv,2144,29,2,4,1,22
20241117_154240.csv,1589,21,2,6,9,4
20241117_123750.csv,0,0,0,0,0,0
20241117_181256.csv,2675,37,9,9,4,15
20241117_070251.csv,302,9,0,2,1,6
20241117_090302.csv,701,17,1,10,3,3
20241117_113744.csv,679,8,2,3,1,2
20241117_063248.csv,161,3,0,1,0,2
20241117_191744.csv,0,0,0,0,0,0
20241117_174253.csv,1917,36,3,17,1,15
20241117_164246.csv,2243,31,5,15,3,8
20241117_100308.csv,5053,96,18,27,11,40
20241117_073253.csv,133,4,0,1,0,3
20241117_161243.csv,1205,15,3,6,1,5
20241117_120747.csv,30,1,0,0,1,0
20241117_184741.csv,506,7,2,3,0,2
20241117_080256.csv,184,10,1,1,1,7
20241117_171250.csv,1938,24,7,9,2,6
20241117_143802.csv,1229,12,4,1,1,6
20241117_103312.csv,5795,79,16,36,9,18
20241117_110741.csv,5552,97,15,42,16,24
20241117_093306.csv,1128,21,4,11,3,3
20241117_083259.csv,249,5,1,3,0,1
20241116_135613.csv,10259,194,11,24,5,154
20241116_195114.csv,1104,29,3,12,1,13
20241116_191617.csv,5598,117,16,48,14,39
20241116_180118.csv,4996,103,9,40,13,41
20241116_111614.csv,4563,90,10,24,7,49
20241116_164614.csv,9002,191,33,50,29,79
20241116_144114.csv,10336,169,12,51,8,98
20241116_132120.csv,5234,101,4,0,0,97
20241116_094133.csv,10,0,0,0,0,0
20241116_125117.csv,2030,30,0,0,0,30
20241116_151117.csv,7381,155,22,44,9,80
20241116_155614.csv,5145,110,27,32,17,34
20241116_081123.csv,8,0,0,0,0,0
20241116_122114.csv,2735,63,18,27,5,13
20241116_104139.csv,2829,51,4,21,2,24
20241116_101136.csv,155,4,2,1,0,1
20241116_184614.csv,4044,84,13,42,14,15
